Algorithm,Architecture,Accumulations,Micro-Batch Size,Images/Second
pytorch_linear,vgg16,1,32,1474.8775856507275
pytorch_linear,vgg16,1,32,1472.335560647823
pytorch_linear,vgg16,1,32,1468.4066115804462
pytorch_linear,vgg16,1,32,1466.7637371541225
pytorch_linear,vgg16,1,32,1461.7083810618751
pytorch_linear,vgg16,1,32,1460.1968630937197
pytorch_linear,vgg16,1,32,1458.4958581964922
pytorch_linear,vgg16,1,32,1455.1618362946494
pytorch_linear,vgg16,1,32,1453.4440102317135
pytorch_linear,vgg16,1,32,1451.888109603857
pytorch_linear,vgg16,2,32,1430.9140207136422
pytorch_linear,vgg16,2,32,1428.2904027122263
pytorch_linear,vgg16,2,32,1423.292419198615
pytorch_linear,vgg16,2,32,1416.6034472347378
pytorch_linear,vgg16,2,32,1422.9000772755348
pytorch_linear,vgg16,2,32,1419.3018879467868
pytorch_linear,vgg16,2,32,1418.592072849338
pytorch_linear,vgg16,2,32,1421.7316358713945
pytorch_linear,vgg16,2,32,1417.248160678892
pytorch_linear,vgg16,2,32,1420.2946234512333
pytorch_linear,vgg16,4,32,1417.888005389016
pytorch_linear,vgg16,4,32,1417.2095099835035
pytorch_linear,vgg16,4,32,1416.8971646741322
pytorch_linear,vgg16,4,32,1417.3764468842169
pytorch_linear,vgg16,4,32,1417.1271169250738
pytorch_linear,vgg16,4,32,1414.6289422617226
pytorch_linear,vgg16,4,32,1416.040624477571
pytorch_linear,vgg16,4,32,1417.9438965753886
pytorch_linear,vgg16,4,32,1414.652499845737
pytorch_linear,vgg16,4,32,1415.4801108453032
pytorch_linear,vgg16,8,32,1418.2198445378822
pytorch_linear,vgg16,8,32,1416.690778695062
pytorch_linear,vgg16,8,32,1416.7642881366742
pytorch_linear,vgg16,8,32,1416.49182931511
pytorch_linear,vgg16,8,32,1416.6638986400271
pytorch_linear,vgg16,8,32,1416.4017995135227
pytorch_linear,vgg16,8,32,1416.6276422596432
pytorch_linear,vgg16,8,32,1416.0179637826309
pytorch_linear,vgg16,8,32,1416.297680171744
pytorch_linear,vgg16,8,32,1416.0610097236638
pytorch_linear,vgg19,1,32,1258.0138482227871
pytorch_linear,vgg19,1,32,1254.8316412505526
pytorch_linear,vgg19,1,32,1252.2923762283174
pytorch_linear,vgg19,1,32,1247.6023660601088
pytorch_linear,vgg19,1,32,1245.957731060811
pytorch_linear,vgg19,1,32,1239.9916207577785
pytorch_linear,vgg19,1,32,1246.613649743772
pytorch_linear,vgg19,1,32,1243.6058668450696
pytorch_linear,vgg19,1,32,1240.6429550082746
pytorch_linear,vgg19,1,32,1246.889102529035
pytorch_linear,vgg19,2,32,1255.812357272429
pytorch_linear,vgg19,2,32,1256.837495209794
pytorch_linear,vgg19,2,32,1257.594904605235
pytorch_linear,vgg19,2,32,1256.5254276077148
pytorch_linear,vgg19,2,32,1255.3386692313306
pytorch_linear,vgg19,2,32,1256.127106993965
pytorch_linear,vgg19,2,32,1257.8287093024794
pytorch_linear,vgg19,2,32,1255.5475586617629
pytorch_linear,vgg19,2,32,1254.9638213967312
pytorch_linear,vgg19,2,32,1256.2102059269
pytorch_linear,vgg19,4,32,1224.9355142502577
pytorch_linear,vgg19,4,32,1226.291738423925
pytorch_linear,vgg19,4,32,1224.8135706012954
pytorch_linear,vgg19,4,32,1225.886137887958
pytorch_linear,vgg19,4,32,1224.9079549261985
pytorch_linear,vgg19,4,32,1224.9019004919696
pytorch_linear,vgg19,4,32,1225.9548336417658
pytorch_linear,vgg19,4,32,1225.8152342823855
pytorch_linear,vgg19,4,32,1223.875441784712
pytorch_linear,vgg19,4,32,1225.3732552781887
pytorch_linear,vgg19,8,32,1220.6986163966965
pytorch_linear,vgg19,8,32,1219.5960720401647
pytorch_linear,vgg19,8,32,1219.7728619542052
pytorch_linear,vgg19,8,32,1219.5744874218972
