Algorithm,Architecture,Accumulations,Micro-Batch Size,Images/Second
pytorch_ssgd,vgg16,1,32,494.2839922526852
pytorch_ssgd,vgg16,1,32,493.45542038417966
pytorch_ssgd,vgg16,1,32,494.1854684474867
pytorch_ssgd,vgg16,1,32,494.5947204758383
pytorch_ssgd,vgg16,1,32,493.645760341732
pytorch_ssgd,vgg16,1,32,494.5145623689044
pytorch_ssgd,vgg16,1,32,494.2385321561625
pytorch_ssgd,vgg16,1,32,492.02863626074736
pytorch_ssgd,vgg16,1,32,493.5511837711616
pytorch_ssgd,vgg16,1,32,494.29574630098585
pytorch_ssgd,vgg16,2,32,734.452063546918
pytorch_ssgd,vgg16,2,32,733.4402807685889
pytorch_ssgd,vgg16,2,32,733.1565326010706
pytorch_ssgd,vgg16,2,32,733.4741824300289
pytorch_ssgd,vgg16,2,32,732.1573154684179
pytorch_ssgd,vgg16,2,32,731.5732399953048
pytorch_ssgd,vgg16,2,32,730.5078680731831
pytorch_ssgd,vgg16,2,32,729.2443421916254
pytorch_ssgd,vgg16,2,32,729.7656071255279
pytorch_ssgd,vgg16,2,32,730.9050782080466
pytorch_ssgd,vgg16,4,32,956.902609693684
pytorch_ssgd,vgg16,4,32,958.2908490527068
pytorch_ssgd,vgg16,4,32,962.057252682724
pytorch_ssgd,vgg16,4,32,953.876015062912
pytorch_ssgd,vgg16,4,32,953.7828707007372
pytorch_ssgd,vgg16,4,32,952.5341813948926
pytorch_ssgd,vgg16,4,32,953.3140467714642
pytorch_ssgd,vgg16,4,32,961.4913380981748
pytorch_ssgd,vgg16,4,32,954.066995476318
pytorch_ssgd,vgg16,4,32,952.3557899221609
pytorch_ssgd,vgg16,8,32,1128.3901258697908
pytorch_ssgd,vgg16,8,32,1127.2871796054046
pytorch_ssgd,vgg16,8,32,1130.454577941318
pytorch_ssgd,vgg16,8,32,1128.069857412041
pytorch_ssgd,vgg16,8,32,1127.0346555299516
pytorch_ssgd,vgg16,8,32,1125.3341482105748
pytorch_ssgd,vgg16,8,32,1119.7573306075294
pytorch_ssgd,vgg16,8,32,1123.7599821749773
pytorch_ssgd,vgg16,8,32,1126.0794837443416
pytorch_ssgd,vgg16,8,32,1127.612883176963
pytorch_ssgd,vgg19,1,32,465.3939343423235
pytorch_ssgd,vgg19,1,32,465.35958725717177
pytorch_ssgd,vgg19,1,32,465.3472610481918
pytorch_ssgd,vgg19,1,32,465.86708603946784
pytorch_ssgd,vgg19,1,32,465.6339773552239
pytorch_ssgd,vgg19,1,32,465.0201082814041
pytorch_ssgd,vgg19,1,32,465.6645850743399
pytorch_ssgd,vgg19,1,32,465.4638977585088
pytorch_ssgd,vgg19,1,32,465.93909798925233
pytorch_ssgd,vgg19,1,32,466.0353010558432
pytorch_ssgd,vgg19,2,32,674.2006305029549
pytorch_ssgd,vgg19,2,32,672.998255708158
pytorch_ssgd,vgg19,2,32,672.5255062082215
pytorch_ssgd,vgg19,2,32,671.7454714253319
pytorch_ssgd,vgg19,2,32,671.5733951160556
pytorch_ssgd,vgg19,2,32,671.0622263416832
pytorch_ssgd,vgg19,2,32,671.0156816713799
pytorch_ssgd,vgg19,2,32,671.6554667049693
pytorch_ssgd,vgg19,2,32,670.691939336707
pytorch_ssgd,vgg19,2,32,670.9263054102946
pytorch_ssgd,vgg19,4,32,870.3038062739819
pytorch_ssgd,vgg19,4,32,865.631281085499
pytorch_ssgd,vgg19,4,32,867.4615898874105
pytorch_ssgd,vgg19,4,32,865.1113559286266
pytorch_ssgd,vgg19,4,32,866.22987458349
pytorch_ssgd,vgg19,4,32,865.9601590669043
pytorch_ssgd,vgg19,4,32,868.4323690767488
pytorch_ssgd,vgg19,4,32,863.5484185590569
pytorch_ssgd,vgg19,4,32,866.5121116200644
pytorch_ssgd,vgg19,4,32,864.4955233174643
pytorch_ssgd,vgg19,8,32,1006.8306367034876
pytorch_ssgd,vgg19,8,32,1007.3966015349072
pytorch_ssgd,vgg19,8,32,1006.0681456274403
pytorch_ssgd,vgg19,8,32,1005.0718098366532
pytorch_ssgd,vgg19,8,32,1007.1294683657424
pytorch_ssgd,vgg19,8,32,1002.4647890563084
pytorch_ssgd,vgg19,8,32,1004.4223798694568
pytorch_ssgd,vgg19,8,32,1007.543005006694
pytorch_ssgd,vgg19,8,32,1002.7802629227092
pytorch_ssgd,vgg19,8,32,1005.7295916884674
pytorch_ssgd,resnet18,1,32,4193.598169799239
pytorch_ssgd,resnet18,1,32,4186.356565155748
pytorch_ssgd,resnet18,1,32,4175.08260570104
pytorch_ssgd,resnet18,1,32,4179.46210351938
pytorch_ssgd,resnet18,1,32,4175.269461433918
pytorch_ssgd,resnet18,1,32,4179.864105926285
pytorch_ssgd,resnet18,1,32,4172.182193729116
pytorch_ssgd,resnet18,1,32,4162.6745858622935
pytorch_ssgd,resnet18,1,32,4163.601345320759
pytorch_ssgd,resnet18,1,32,4172.303513872652
pytorch_ssgd,resnet18,2,32,5138.083115634401
pytorch_ssgd,resnet18,2,32,5134.9269615468575
pytorch_ssgd,resnet18,2,32,5134.425534115431
pytorch_ssgd,resnet18,2,32,5113.738486994177
pytorch_ssgd,resnet18,2,32,5097.136939070575
pytorch_ssgd,resnet18,2,32,5103.523201837476
pytorch_ssgd,resnet18,2,32,5100.543166097595
pytorch_ssgd,resnet18,2,32,5113.043632568079
pytorch_ssgd,resnet18,2,32,5108.654467200394
pytorch_ssgd,resnet18,2,32,5109.2996958433
pytorch_ssgd,resnet18,4,32,5848.953154092925
pytorch_ssgd,resnet18,4,32,5809.237944482066
pytorch_ssgd,resnet18,4,32,5802.465476466534
pytorch_ssgd,resnet18,4,32,5813.120895323584
pytorch_ssgd,resnet18,4,32,5779.448667752477
pytorch_ssgd,resnet18,4,32,5727.744006434978
pytorch_ssgd,resnet18,4,32,5697.414308483815
pytorch_ssgd,resnet18,4,32,5689.900493777645
pytorch_ssgd,resnet18,4,32,5684.910296826532
pytorch_ssgd,resnet18,4,32,5688.919806262107
pytorch_ssgd,resnet18,8,32,6268.613833057075
pytorch_ssgd,resnet18,8,32,6218.849090300009
pytorch_ssgd,resnet18,8,32,6193.738128771015
pytorch_ssgd,resnet18,8,32,6183.9429776909365
pytorch_ssgd,resnet18,8,32,6157.860821533295
pytorch_ssgd,resnet18,8,32,6146.365746744703
pytorch_ssgd,resnet18,8,32,6116.497714593981
pytorch_ssgd,resnet18,8,32,6120.319975244757
pytorch_ssgd,resnet18,8,32,6108.4292992126975
pytorch_ssgd,resnet18,8,32,6107.005034739087
pytorch_ssgd,resnet50,1,32,1508.085170366997
pytorch_ssgd,resnet50,1,32,1503.4901843779833
pytorch_ssgd,resnet50,1,32,1507.3909352480562
pytorch_ssgd,resnet50,1,32,1507.6699954833755
pytorch_ssgd,resnet50,1,32,1505.6346682443846
pytorch_ssgd,resnet50,1,32,1503.3523446563906
pytorch_ssgd,resnet50,1,32,1501.7060374293612
pytorch_ssgd,resnet50,1,32,1501.62937638679
pytorch_ssgd,resnet50,1,32,1507.025540317525
pytorch_ssgd,resnet50,1,32,1505.5505398753244
pytorch_ssgd,resnet50,2,32,1748.944268885095
pytorch_ssgd,resnet50,2,32,1739.5965651174645
pytorch_ssgd,resnet50,2,32,1725.4389233701693
pytorch_ssgd,resnet50,2,32,1729.8977177612376
pytorch_ssgd,resnet50,2,32,1726.1429665286464
pytorch_ssgd,resnet50,2,32,1721.8959707593149
pytorch_ssgd,resnet50,2,32,1714.8823802790107
pytorch_ssgd,resnet50,2,32,1715.6274781977995
pytorch_ssgd,resnet50,2,32,1711.979028212062
pytorch_ssgd,resnet50,2,32,1710.4231689564926
pytorch_ssgd,resnet50,4,32,1871.7061150081709
pytorch_ssgd,resnet50,4,32,1856.3599765315323
pytorch_ssgd,resnet50,4,32,1845.70033757241
pytorch_ssgd,resnet50,4,32,1841.1504816573115
pytorch_ssgd,resnet50,4,32,1836.697323089835
pytorch_ssgd,resnet50,4,32,1837.876693972924
pytorch_ssgd,resnet50,4,32,1834.3313335146795
pytorch_ssgd,resnet50,4,32,1835.2679609937056
pytorch_ssgd,resnet50,4,32,1832.9805460950288
pytorch_ssgd,resnet50,4,32,1835.8568278585788
pytorch_ssgd,resnet50,8,32,1914.798986205476
pytorch_ssgd,resnet50,8,32,1907.9274011276425
pytorch_ssgd,resnet50,8,32,1902.4649265049047
pytorch_ssgd,resnet50,8,32,1902.1759978997336
pytorch_ssgd,resnet50,8,32,1900.923164822968
pytorch_ssgd,resnet50,8,32,1917.756541323712
pytorch_ssgd,resnet50,8,32,1936.4513421156664
pytorch_ssgd,resnet50,8,32,1905.523452809938
pytorch_ssgd,resnet50,8,32,1938.522419439304
pytorch_ssgd,resnet50,8,32,1917.594209149023
pytorch_ssgd,resnet101,1,32,937.2474124166498
pytorch_ssgd,resnet101,1,32,935.5380797118902
pytorch_ssgd,resnet101,1,32,937.223769311929
pytorch_ssgd,resnet101,1,32,929.1841291644092
pytorch_ssgd,resnet101,1,32,927.5240759430444
pytorch_ssgd,resnet101,1,32,926.891285614882
pytorch_ssgd,resnet101,1,32,927.1923041434663
pytorch_ssgd,resnet101,1,32,930.0174592950202
pytorch_ssgd,resnet101,1,32,925.4048235343488
pytorch_ssgd,resnet101,1,32,926.9626968215916
pytorch_ssgd,resnet101,2,32,1068.7830045067362
pytorch_ssgd,resnet101,2,32,1064.1054428998807
pytorch_ssgd,resnet101,2,32,1058.5848870265631
pytorch_ssgd,resnet101,2,32,1055.132197569106
pytorch_ssgd,resnet101,2,32,1055.2610348292549
pytorch_ssgd,resnet101,2,32,1049.7208388520128
pytorch_ssgd,resnet101,2,32,1050.4547835238234
pytorch_ssgd,resnet101,2,32,1051.136916451445
pytorch_ssgd,resnet101,2,32,1065.0819846135034
pytorch_ssgd,resnet101,2,32,1066.2885576348822
pytorch_ssgd,resnet101,4,32,1161.8442400729386
pytorch_ssgd,resnet101,4,32,1147.9203439420369
pytorch_ssgd,resnet101,4,32,1156.1792039010477
pytorch_ssgd,resnet101,4,32,1154.8524002702093
pytorch_ssgd,resnet101,4,32,1147.1722028288705
pytorch_ssgd,resnet101,4,32,1146.661088432823
pytorch_ssgd,resnet101,4,32,1156.603200365049
pytorch_ssgd,resnet101,4,32,1153.5377589575007
pytorch_ssgd,resnet101,4,32,1152.3739597200708
pytorch_ssgd,resnet101,4,32,1154.8242049497892
pytorch_ssgd,resnet101,8,32,1195.3172895334912
pytorch_ssgd,resnet101,8,32,1187.771058130416
pytorch_ssgd,resnet101,8,32,1196.10234492207
pytorch_ssgd,resnet101,8,32,1199.6168294232425
pytorch_ssgd,resnet101,8,32,1200.0376640630734
pytorch_ssgd,resnet101,8,32,1200.4179006678196
pytorch_ssgd,resnet101,8,32,1194.7915250215387
pytorch_ssgd,resnet101,8,32,1182.9353404445055
pytorch_ssgd,resnet101,8,32,1185.212378977984
pytorch_ssgd,resnet101,8,32,1173.436957805776
pytorch_ssgd,resnet152,1,32,656.9732092744994
