Algorithm,Architecture,Accumulations,Micro-Batch Size,Images/Second
pytorch_ssgd_vanilla,vgg16,1,32,437.61621285763226
pytorch_ssgd_vanilla,vgg16,1,32,437.4717356559341
pytorch_ssgd_vanilla,vgg16,1,32,436.83249917931226
pytorch_ssgd_vanilla,vgg16,1,32,436.8157028705218
pytorch_ssgd_vanilla,vgg16,1,32,436.739477871547
pytorch_ssgd_vanilla,vgg16,1,32,436.230242519432
pytorch_ssgd_vanilla,vgg16,1,32,436.35061268652726
pytorch_ssgd_vanilla,vgg16,1,32,435.7593714976873
pytorch_ssgd_vanilla,vgg16,1,32,435.44387894647576
pytorch_ssgd_vanilla,vgg16,1,32,435.6346856955216
pytorch_ssgd_vanilla,vgg16,2,32,665.5361205281957
pytorch_ssgd_vanilla,vgg16,2,32,664.8150264861233
pytorch_ssgd_vanilla,vgg16,2,32,664.7787923974569
pytorch_ssgd_vanilla,vgg16,2,32,664.5554582561484
pytorch_ssgd_vanilla,vgg16,2,32,663.8783363340323
pytorch_ssgd_vanilla,vgg16,2,32,664.7169012573378
pytorch_ssgd_vanilla,vgg16,2,32,664.1102825360653
pytorch_ssgd_vanilla,vgg16,2,32,663.51706664533
pytorch_ssgd_vanilla,vgg16,2,32,663.5639006543919
pytorch_ssgd_vanilla,vgg16,2,32,662.9997300448966
pytorch_ssgd_vanilla,vgg16,4,32,909.5734110083944
pytorch_ssgd_vanilla,vgg16,4,32,913.5373327243128
pytorch_ssgd_vanilla,vgg16,4,32,907.1425016508229
pytorch_ssgd_vanilla,vgg16,4,32,912.496736862953
pytorch_ssgd_vanilla,vgg16,4,32,908.7589399345914
pytorch_ssgd_vanilla,vgg16,4,32,911.804213393355
pytorch_ssgd_vanilla,vgg16,4,32,910.088960249953
pytorch_ssgd_vanilla,vgg16,4,32,912.01268695622
pytorch_ssgd_vanilla,vgg16,4,32,909.6047758062634
pytorch_ssgd_vanilla,vgg16,4,32,911.4653334132742
pytorch_ssgd_vanilla,vgg16,8,32,1098.8199590237932
pytorch_ssgd_vanilla,vgg16,8,32,1098.0605663909544
pytorch_ssgd_vanilla,vgg16,8,32,1098.1037556815304
pytorch_ssgd_vanilla,vgg16,8,32,1097.6000091929072
pytorch_ssgd_vanilla,vgg16,8,32,1097.5966011708294
pytorch_ssgd_vanilla,vgg16,8,32,1097.3504545760406
pytorch_ssgd_vanilla,vgg16,8,32,1097.9646378105167
pytorch_ssgd_vanilla,vgg16,8,32,1097.8596484134212
pytorch_ssgd_vanilla,vgg16,8,32,1097.5234950993113
pytorch_ssgd_vanilla,vgg16,8,32,1097.0314320834912
pytorch_ssgd_vanilla,vgg19,1,32,407.2632544735585
pytorch_ssgd_vanilla,vgg19,1,32,407.0682133380239
pytorch_ssgd_vanilla,vgg19,1,32,407.4954504570105
pytorch_ssgd_vanilla,vgg19,1,32,407.0083590999378
pytorch_ssgd_vanilla,vgg19,1,32,407.3565575267754
pytorch_ssgd_vanilla,vgg19,1,32,407.6477349498344
pytorch_ssgd_vanilla,vgg19,1,32,407.5917346911788
